Timestamp   Alert Message         1 min load average  5 min load average  15 min load average
---------   -------------------   ------------------  ------------------  -------------------
 01:39:01   HIGH CPU usage 		 0.00 		 0.00 			  0.00
 01:39:01   Very HIGH CPU usage 	 0.00 		 0.00 			  0.00
 01:39:02   HIGH CPU usage 		 0.00 		 0.00 			  0.00
 01:39:02   Very HIGH CPU usage 	 0.00 		 0.00 			  0.00
 01:39:03   HIGH CPU usage 		 0.00 		 0.00 			  0.00
 01:39:03   Very HIGH CPU usage 	 0.00 		 0.00 			  0.00
 01:39:04   HIGH CPU usage 		 0.00 		 0.00 			  0.00
 01:39:04   Very HIGH CPU usage 	 0.00 		 0.00 			  0.00
 01:40:01   HIGH CPU usage 		 0.00 		 0.00 			  0.00
 01:40:01   Very HIGH CPU usage 	 0.00 		 0.00 			  0.00
 01:40:02   HIGH CPU usage 		 0.00 		 0.00 			  0.00
 01:40:02   Very HIGH CPU usage 	 0.00 		 0.00 			  0.00
 01:40:03   HIGH CPU usage 		 0.00 		 0.00 			  0.00
 01:40:03   Very HIGH CPU usage 	 0.00 		 0.00 			  0.00
 01:40:05   HIGH CPU usage 		 0.00 		 0.00 			  0.00
 01:40:05   Very HIGH CPU usage 	 0.00 		 0.00 			  0.00
